latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,index_right,osm_id,nearest_industry_name,nearest_industry_type,nearest_landuse,nearest_man_made,nearest_power,nearest_industry_distance_m,industries_within_500m,industries_within_1km,industries_within_2km,nearest_industry_distance_km
23.09766,72.35985,332.13,0.46,0.63,2026-04-17,738,N20,VIIRS,l,2,304.33,3.87,D,0,314,920036345,,,industrial,,,5517.76,0,0,0,5.518
23.09801,72.35852,334.06,0.46,0.63,2026-04-17,738,N20,VIIRS,n,2,306.28,3.02,D,0,314,920036345,,,industrial,,,5576.12,0,0,0,5.576
22.78016,72.34639,344.44,0.33,0.56,2026-04-18,859,N20,VIIRS,n,2,312.61,3.28,D,0,327,920069479,,,industrial,,,883.66,0,1,6,0.884
22.85525,72.52629,347.69,0.34,0.56,2026-04-18,859,N20,VIIRS,l,2,319.39,7.47,D,0,200,663471281,,,industrial,,,5116.65,0,0,0,5.117
22.85662,72.52569,349.34,0.34,0.56,2026-04-18,859,N20,VIIRS,n,2,320.8,8.63,D,0,200,663471281,,,industrial,,,5093.38,0,0,0,5.093
22.97871,72.56477,305.85,0.32,0.55,2026-04-18,2127,N20,VIIRS,n,2,295.17,1.14,N,2,226,730859587,,,industrial,,,397.67,1,3,7,0.398
22.7823,72.3466,342.18,0.39,0.36,2026-04-20,821,N20,VIIRS,l,2,313.57,27.49,D,0,327,920069479,,,industrial,,,1110.4,0,0,5,1.11
22.97903,72.56763,312.07,0.39,0.36,2026-04-20,2049,N20,VIIRS,n,2,297.3,1.32,N,2,226,730859587,,,industrial,,,149.8,1,2,7,0.15
22.95614,72.57651,344.55,0.55,0.43,2026-04-21,803,N20,VIIRS,l,2,316.62,12.87,D,0,74,321136518,,,industrial,,,990.91,0,1,7,0.991
22.95196,72.56094,310.32,0.39,0.44,2026-04-21,2031,N20,VIIRS,n,2,296.13,2.46,N,0,76,321136520,Piplaj,,industrial,,,752.9,0,2,4,0.753
22.99586,72.54735,322.87,0.39,0.44,2026-04-21,2031,N20,VIIRS,n,2,297.72,2.55,N,0,376,1304610116,,,industrial,,,1016.9,0,0,1,1.017
22.92417,72.51684,340.06,0.36,0.57,2026-04-22,744,N20,VIIRS,n,2,312.98,3.5,D,0,75,321136519,,,industrial,,,4061.98,0,0,0,4.062
22.92444,72.51591,343.38,0.36,0.57,2026-04-22,744,N20,VIIRS,n,2,312.95,3.64,D,0,75,321136519,,,industrial,,,4139.34,0,0,0,4.139
22.92534,72.27306,338.22,0.37,0.58,2026-04-22,744,N20,VIIRS,l,2,311.25,2.51,D,0,411,1319229897,,,industrial,,,4588.11,0,0,0,4.588
22.97361,72.55895,340.84,0.44,0.62,2026-04-23,905,N20,VIIRS,l,2,313.57,5.44,D,0,44,137989387,,,industrial,,,77.59,1,3,8,0.078
23.07861,72.32619,339.18,0.42,0.61,2026-04-23,905,N20,VIIRS,l,2,311.35,6.86,D,0,266,908926064,,,,,generator,2474.71,0,0,0,2.475
23.08136,72.32452,348.93,0.42,0.61,2026-04-23,905,N20,VIIRS,n,2,312.13,6.46,D,0,266,908926064,,,,,generator,2250.69,0,0,0,2.251
22.97618,72.56326,309.33,0.4,0.6,2026-04-23,2133,N20,VIIRS,n,2,297.01,1.59,N,2,44,137989387,,,industrial,,,525.2,0,2,7,0.525
22.83231,72.52499,344.9,0.43,0.46,2026-04-24,846,N20,VIIRS,l,2,319.33,8.25,D,0,49,197365170,,,industrial,,,6553.58,0,0,0,6.554
22.83278,72.52921,345.98,0.43,0.46,2026-04-24,846,N20,VIIRS,l,2,320.68,8.25,D,0,49,197365170,,,industrial,,,6134.9,0,0,0,6.135
23.01619,72.63089,343.51,0.44,0.46,2026-04-24,846,N20,VIIRS,l,2,316.94,7.86,D,0,96,326856794,,,industrial,,,296.99,2,3,10,0.297
23.07626,72.48165,344.1,0.43,0.46,2026-04-24,847,N20,VIIRS,l,2,318.96,6.27,D,0,396,1306312165,,,industrial,,,1514.18,0,0,1,1.514
22.97655,72.56552,312.71,0.41,0.45,2026-04-24,2115,N20,VIIRS,n,2,298.03,1.76,N,2,226,730859587,,,industrial,,,351.32,1,2,7,0.351
22.9806,72.56644,318.14,0.41,0.45,2026-04-24,2115,N20,VIIRS,n,2,297.65,1.76,N,2,226,730859587,,,industrial,,,361.96,1,3,8,0.362
22.83576,72.56556,349.39,0.4,0.37,2026-04-25,828,N20,VIIRS,l,2,322.41,13.7,D,0,49,197365170,,,industrial,,,2703.22,0,0,0,2.703
22.96237,72.54801,347.21,0.4,0.37,2026-04-25,828,N20,VIIRS,l,2,321.77,21.37,D,0,19,4483635589,"Chiripal industries ,pirana",,,works,,1059.3,0,0,5,1.059
23.01382,72.33582,313.33,0.49,0.41,2026-04-26,2037,N20,VIIRS,n,2,299.05,2.05,N,0,47,196518647,,,industrial,,,494.09,1,1,2,0.494
22.93092,72.26733,340.59,0.59,0.53,2026-04-27,750,N20,VIIRS,l,2,312.15,3.38,D,0,411,1319229897,,,industrial,,,3807.55,0,0,0,3.808
22.95882,72.54778,345.27,0.57,0.52,2026-04-27,750,N20,VIIRS,n,2,316.52,11.94,D,0,76,321136520,Piplaj,,industrial,,,1043.21,0,0,5,1.043
22.96,72.54593,341.37,0.57,0.52,2026-04-27,750,N20,VIIRS,l,2,315.54,12.1,D,0,76,321136520,Piplaj,,industrial,,,1247.26,0,0,4,1.247
23.01009,72.39418,335.66,0.58,0.7,2026-04-28,731,N20,VIIRS,l,2,308.97,4.84,D,0,416,1319844105,,,industrial,container_terminal,,1941.44,0,0,1,1.941
22.98177,72.56716,306.99,0.51,0.66,2026-04-28,2140,N20,VIIRS,n,2,295.07,2.39,N,2,226,730859587,,,industrial,,,442.54,1,3,9,0.443
23.01806,72.67479,348.11,0.55,0.51,2026-04-29,853,N20,VIIRS,n,2,312.04,9.26,D,0,53,244328441,,,industrial,,,622.45,0,1,6,0.622
23.0193,72.672,343.64,0.56,0.51,2026-04-29,853,N20,VIIRS,n,2,311.06,5.51,D,0,53,244328441,,,industrial,,,802.52,0,1,7,0.803
23.0284,72.26031,344.12,0.52,0.5,2026-04-29,853,N20,VIIRS,n,2,310.01,11.9,D,0,313,920036344,,,industrial,,,884.33,0,1,14,0.884
